Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Ithaca, NY Metro Area",104415,6.5,14.2,1.6,6.5,0.973821989528796,1
"State College, PA Metro Area",160646,5.1,9.5,2,6.5,0.971858638743455,2
"Champaign-Urbana, IL Metro Area",237849,5.8,7.2,2.1,5.6,0.969240837696335,3
"San Francisco-Oakland-Hayward, CA Metro Area",4641820,16.8,4.7,1.9,6.9,0.966623036649215,4
"Boston-Cambridge-Newton, MA-NH Metro Area",4771936,13.2,5.3,1,6.8,0.951570680628272,5
"Iowa City, IA Metro Area",166520,5.2,8.6,2.1,3.7,0.948952879581152,6
"Ann Arbor, MI Metro Area",361509,5.2,6.5,1.7,4,0.945680628272251,7
"Urban Honolulu, HI Metro Area",990060,8.6,5.4,1.2,4.1,0.942408376963351,8
"Madison, WI Metro Area",640072,4.5,5.1,2.3,4,0.942408376963351,8
"Bloomington, IN Metro Area",165393,3.6,6.8,2,3.6,0.929973821989529,10
"Eugene, OR Metro Area",363471,3.1,5,3.8,3.8,0.927356020942408,11
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20192042,31.2,5.9,0.6,22.3,0.923429319371728,12
"Seattle-Tacoma-Bellevue, WA Metro Area",3735216,9.6,3.8,1.1,3.9,0.905759162303665,13
"Ocean City, NJ Metro Area",94549,2.1,5.1,1.8,4,0.905759162303665,13
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2382037,6.5,3.3,2.4,3.6,0.898560209424084,15
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6090196,13.8,3.3,0.9,5.6,0.897251308900524,16
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6065644,9.5,3.7,0.7,6,0.893324607329843,17
"Lafayette-West Lafayette, IN Metro Area",214760,2.7,6.1,1.2,3.3,0.890052356020942,18
"Gainesville, FL Metro Area",277056,3.9,3.2,2.5,3.9,0.888089005235602,19
"Corvallis, OR Metro Area",88249,2.2,7.5,8.6,2.9,0.884162303664922,20
"Santa Maria-Santa Barbara, CA Metro Area",442996,3.2,4.6,3.6,2.9,0.880890052356021,21
"Ames, IA Metro Area",95888,5.7,7.3,2.4,2.6,0.8782722513089,22
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9549229,12,3.1,0.7,6,0.867801047120419,23
"Trenton, NJ Metro Area",373362,7.9,3.4,0.6,5.2,0.866492146596859,24
"Boulder, CO Metro Area",316782,4.9,5.1,4.5,2.5,0.856675392670157,25
"Bellingham, WA Metro Area",212738,2.5,4.5,1.6,2.8,0.844240837696335,26
"Atlantic City-Hammonton, NJ Metro Area",272926,6.5,3.5,0.4,6.9,0.844240837696335,26
"Springfield, MA Metro Area",630385,2.3,4.7,0.6,3.6,0.841623036649215,28
"New Haven-Milford, CT Metro Area",862127,4.1,3.6,0.5,4.2,0.840314136125654,29
"Charlottesville, VA Metro Area",228825,2.7,4.7,1,2.8,0.839005235602095,30
