CD,Cluster,Very low density,Low density,Medium density,High density,obama08,mccain08,kerry04,bush04,gore00,bush00,cong_D10,cong_R10,incumbent2010,Incumbent,winner2010,cong_D08,cong_R08
AK-AL,Pure rural,0.5029448165456027,0.19602636325364564,0.202034267724163,0.0989945524765886,0.38,0.59,0.36,0.61,0.28,0.59,0.314,0.6859999999999999,R,"Young, Don",R,0.44974730107452254,0.5014196568847049
AL-01,Rural-suburban mix,0.4021594888948265,0.389192330724085,0.1961830231959144,0.01246515718517415,0.39,0.61,0.35,0.64,0.38,0.6,0,0.83,R,"Bonner, Jo",R,0,0.9827072263921219
AL-02,Pure rural,0.552117960185646,0.2810468079513434,0.16185475479834438,0.004980477064666188,0.36,0.63,0.33,0.67,0.38,0.61,0.489,0.511,D,"Bright, Bobby",R,0.5023347738644509,0.4961063905300737
AL-03,Pure rural,0.4952719777736213,0.4044300296439968,0.09435380211248269,0.005944190469899166,0.43,0.56,0.41,0.58,0.47,0.52,0.405,0.595,R,"Rogers, Mike",R,0.45842798727850975,0.5403150083295472
AL-04,Pure rural,0.7540775450439899,0.23641866779983398,0.009503787156176073,0,0.23,0.76,0.28,0.71,0.37,0.61,0,1,R,"Aderholt, Robert B.",R,0.2510839124966276,0.7475899333883048
AL-05,Rural-suburban mix,0.4070979945250352,0.40738775288899937,0.18551425258596543,0,0.38,0.61,0.39,0.6,0.44,0.54,0.42100000000000004,0.579,R,"Griffith, Parker",R,0.5152400726368612,0.47940979295891073
AL-06,Rural-suburban mix,0.35230304430821563,0.4894293559859635,0.13842965315201322,0.019837946553807717,0.23,0.76,0.22,0.78,0.25,0.74,0,1,R,"Bachus, Spencer",R,0,0.9779450418991982
AL-07,Rural-suburban mix,0.305442902490277,0.33498179310115583,0.32412117584909755,0.0354541285594696,0.72,0.27,0.64,0.35,0.66,0.33,0.725,0.275,D,"Davis, Artur",D,0.9862624675767476,0
AR-01,Pure rural,0.6300505748196146,0.3005929963035885,0.06935642887679695,0,0.38,0.59,0.47,0.52,0.5,0.48,0.436,0.516,D,"Berry, Marion",R,1,0
AR-02,Rural-suburban mix,0.34206130877043084,0.35680224441259184,0.29633060367831326,0.004805843138664079,0.44,0.54,0.48,0.51,0.48,0.49,0.38299999999999995,0.579,D,"Snyder, Vic",R,0.7654254667118536,0
AR-03,Rural-suburban mix,0.43709911933904233,0.3934186276083077,0.16948225305265,0,0.34,0.64,0.36,0.62,0.37,0.6,0.27699999999999997,0.723,R,"Boozman, John",R,0,0.7852550301774155
AR-04,Pure rural,0.6414869406663477,0.301689024474119,0.05682403485953326,0,0.39,0.58,0.48,0.51,0.49,0.48,0.5760000000000001,0.401,D,"Ross, Mike",D,0.8617233788982148,0
AZ-01,Pure rural,0.584809052707986,0.3126167044504955,0.10257424284151853,0,0.44,0.54,0.46,0.54,0.46,0.51,0.43799999999999994,0.498,D,"Kirkpatrick, Ann",R,0.5588173049675917,0.3942938515784452
AZ-02,Dense suburban,0.14269042372643478,0.2399261288867403,0.5393316580730262,0.07805178931379868,0.38,0.61,0.38,0.61,0.41,0.57,0.306,0.653,R,"Franks, Trent",R,0.37160489079145503,0.5943796723891569
AZ-03,Dense suburban,0.03467440009597061,0.18300067387021446,0.4548575438954309,0.32746738213838406,0.42,0.57,0.41,0.58,0.43,0.55,0.41,0.526,R,"Shadegg, John B.",R,0.4206955200773365,0.5407743103128714
AZ-04,Urban-suburban mix,0.0014034220716449461,0.14368336779047236,0.42177728285232957,0.4331359272855531,0.66,0.33,0.62,0.38,0.63,0.35,0.655,0.289,D,"Pastor, Ed",D,0.7210734004677442,0.2124538886254591
AZ-05,Dense suburban,0.030914014117023457,0.16020267080500994,0.4532028911969995,0.35568042388096716,0.47,0.52,0.45,0.54,0.43,0.54,0.424,0.529,D,"Mitchell, Harry E.",R,0.5315677777183314,0.43573555900344196
AZ-06,Dense suburban,0.030215811071083027,0.23127180984117893,0.6038218191927376,0.13469055989500042,0.38,0.61,0.35,0.64,0.37,0.61,0.294,0.662,R,"Flake, Jeff",R,0.3454975821124198,0.6241681030355262
AZ-07,Dense suburban,0.20104647513739024,0.24073542772790213,0.43096211691620706,0.12725598021850065,0.57,0.42,0.57,0.43,0.58,0.38,0.486,0.45799999999999996,D,"Grijalva, Raúl M.",D,0.6326257449526437,0.32788095007863033
AZ-08,Sparse suburban,0.1946802595067612,0.302890649598302,0.3481439897001989,0.15428510119473793,0.46,0.52,0.46,0.53,0.46,0.5,0.486,0.47600000000000003,D,"Giffords, Gabrielle",D,0.5472056198326967,0.4281680100893787
