CD,Cluster,Party,Very low density,Low density,Medium density,High density,Incumbent,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban,Low-density suburban,High-density suburban,Urban-suburban,Pure urban
AK-AL,Pure rural,R,0.48299266527820084,0.19833109697034557,0.2292450422713765,0.08943119548007716,"Young, Don",0.376,0.528,0.41200000000000003,0.5529999999999999,0.381,0.597,0.503208976047865,0.360219728875593,0.1365712950765412,9,Likely R,2,1,0.2763,1,0.4245246799533983,0.36823629907593264,0.08579157697381719,0.060389583781985126,0.04273957109612814,0.01831828911873853
AL-01,Rural-suburban,R,0.3653589736013795,0.42887765674282213,0.19741335687271128,0.00835001278308707,"Byrne, Bradley",0.341,0.635,0.374,0.618,0.385,0.609,0.963824672407165,0,0.0361753275928353,15,Solid R,3,0,7e-4,0,0.05286332033126897,0.8788868596322648,0.04258420311171597,0.013695600700766758,0.008345050400702032,0.003624965823281513
AL-02,Pure rural,R,0.5354866689702183,0.3161477199597846,0.14836561106999713,0,"Roby, Martha",0.33,0.649,0.364,0.629,0.35,0.645,0.487685477106413,0.405262054204148,0.10705246868944,16,Solid R,3,0,0.0211,0,0.8464550323375531,0.11375848696174479,0.018447438416754603,0.01023668324026222,0.007396433606365475,0.0037059254373197404
AL-03,Pure rural,R,0.5404072958588954,0.3893476756066483,0.0655522282971478,0.004692800237308579,"Rogers, Mike",0.32299999999999995,0.653,0.368,0.623,0.366,0.626,0.66931843513152,0.329319689032546,0.00136187583593402,16,Solid R,3,0,0.0019,0,0.7462204715229696,0.17631821564262304,0.035824991308672414,0.01889704634739561,0.014727043111471357,0.00801223206686792
AL-04,Pure rural,R,0.695332139741225,0.2889415084176601,0.01572635184111493,0,"Aderholt, Rob",0.174,0.804,0.24,0.748,0.255,0.733,0.985303452999449,0,0.0146965470005513,30,Solid R,3,0,0,0,0.8098921029811601,0.10234893244455409,0.033958048298311255,0.022603972316964805,0.01929562403614681,0.011901319922862795
AL-05,Rural-suburban,R,0.3989730486989527,0.43282129660396146,0.16820565469708573,0,"Brooks, Mo",0.313,0.647,0.349,0.639,0.363,0.626,0.666979106530101,0.331577615900054,0.0014432775698449,18,Solid R,3,0,0.0016,0,0.11831526048847617,0.78555785223324,0.05625042508900343,0.020508293119298557,0.013277534915157749,0.00609063415482407
AL-06,Rural-suburban,R,0.3463199105400232,0.4902717104540786,0.15192869670704576,0.011479682298852401,"Palmer, Gary",0.261,0.708,0.247,0.743,0.25,0.741,0.744939357315081,0.254198222929433,8.62419755485779e-4,26,Solid R,3,0,1e-4,0,0.13236508439931652,0.6702571109286233,0.1224606997305295,0.038311084636818565,0.025062107089888215,0.011543913214824083
AL-07,Rural-suburban,D,0.3030558092720477,0.33002170135472436,0.33911751564272424,0.027804973730503675,"Sewell, Terri",0.698,0.28600000000000003,0.7240000000000001,0.271,0.715,0.281,0,0.984130662409668,0.0158693375903325,-20,Solid D,-3,0,1,0,0.0815982137385843,0.5558966413436617,0.24394200335161412,0.07586074152504468,0.03172097895166537,0.010981421089429804
AR-01,Pure rural,R,0.6505479768950925,0.26487525800843836,0.08457676509646918,0,"Crawford, Rick",0.302,0.65,0.363,0.61,0.392,0.58,0.762780702518596,0,0.237219297481404,17,Solid R,3,0,6e-4,0,0.9229652678570545,0.044903377829030006,0.012874589006094981,0.00847426488732643,0.006862425892308802,0.003920074528185148
AR-02,Rural-suburban,R,0.30514519336372464,0.3953215398087759,0.2948593110154593,0.0046739558120402055,"Hill, French",0.41700000000000004,0.524,0.429,0.547,0.44299999999999995,0.5379999999999999,0.583447947524334,0.368133067075751,0.04841898539991539,7,Lean R,1,0,0.1961,0,0.061325689210791845,0.7058741862721732,0.16728832844999147,0.039539500719794556,0.018840061908480685,0.007132233438768079
