CD,Incumbent,PVI,cook_rating,cook_score
AZ-01,Tom O'Halleran,R+2,Likely D,-2
CA-07,Ami Bera,D+3,Likely D,-2
CA-16,Jim Costa,D+9,Likely D,-2
FL-07,Stephanie Murphy,EVEN,Likely D,-2
MN-07,Collin Peterson,R+12,Likely D,-2
NH-01,Open,R+2,Likely D,-2
NJ-02,Open,R+1,Likely D,-2
NJ-05,Josh Gottheimer,R+3,Likely D,-2
NV-04,Open,D+3,Likely D,-2
PA-05,Vacant,D+13,Likely D,-2
PA-06,Open,D+2,Likely D,-2
PA-08,Matthew Cartwright,R+1,Likely D,-2
PA-17,Keith Rothfus,R+3,Likely D,-2
AZ-02,Open,R+1,Lean D,-1
CA-49,Open,R+1,Lean D,-1
CO-06,Mike Coffman,D+2,Lean D,-1
IA-01,Rod Blum,D+1,Lean D,-1
KS-03,Kevin Yoder,R+4,Lean D,-1
MI-11,Open,R+4,Lean D,-1
MN-02,Jason Lewis,R+2,Lean D,-1
MN-03,Erik Paulsen,D+1,Lean D,-1
NJ-11,Open,R+3,Lean D,-1
NV-03,Open,R+2,Lean D,-1
PA-07,Vacant,D+1,Lean D,-1
VA-10,Barbara Comstock,D+1,Lean D,-1
MN-01,Open,R+5,Tossup,0
MN-08,Open,R+4,Tossup,0
CA-10,Jeff Denham,EVEN,Tossup,0
CA-25,Steve Knight,EVEN,Tossup,0
CA-39,Open,EVEN,Tossup,0
CA-45,Mimi Walters,R+3,Tossup,0
CA-48,Dana Rohrabacher,R+4,Tossup,0
FL-26,Carlos Curbelo,D+6,Tossup,0
FL-27,Open,D+5,Tossup,0
IA-03,David Young,R+1,Tossup,0
IL-06,Peter Roskam,R+2,Tossup,0
IL-12,Mike Bost,R+5,Tossup,0
KS-02,Open,R+10,Tossup,0
KY-06,Andy Barr,R+9,Tossup,0
ME-02,Bruce Poliquin,R+2,Tossup,0
MI-08,Mike Bishop,R+4,Tossup,0
NC-09,Open,R+7,Tossup,0
NC-13,Ted Budd,R+6,Tossup,0
NJ-03,Tom MacArthur,R+2,Tossup,0
NJ-07,Leonard Lance,R+3,Tossup,0
NM-02,Open,R+6,Tossup,0
NY-19,John Faso,R+2,Tossup,0
NY-22,Claudia Tenney,R+6,Tossup,0
OH-01,Steve Chabot,R+5,Tossup,0
PA-01,Brian Fitzpatrick,R+1,Tossup,0
TX-07,John Culberson,R+7,Tossup,0
TX-32,Pete Sessions,R+5,Tossup,0
UT-04,Mia Love,R+13,Tossup,0
VA-02,Scott Taylor,R+3,Tossup,0
VA-07,David Brat,R+6,Tossup,0
WA-08,Open,EVEN,Tossup,0
AR-02,French Hill,R+7,Lean R,1
CA-50,Duncan Hunter,R+11,Lean R,1
FL-15,Open,R+6,Lean R,1
FL-16,Vern Buchanan,R+7,Lean R,1
GA-06,Karen Handel,R+8,Lean R,1
GA-07,Rob Woodall,R+9,Lean R,1
IL-13,Rodney Davis,R+3,Lean R,1
IL-14,Randy Hultgren,R+5,Lean R,1
MO-02,Ann Wagner,R+8,Lean R,1
MT-00,Greg Gianforte,R+11,Lean R,1
NC-02,George Holding,R+6,Lean R,1
NE-02,Don Bacon,R+4,Lean R,1
NY-24,John Katko,D+3,Lean R,1
NY-27,Chris Collins,R+11,Lean R,1
OH-12,Troy Balderson,R+7,Lean R,1
PA-10,Scott Perry,R+6,Lean R,1
PA-16,Mike Kelly,R+8,Lean R,1
SC-01,Open,R+10,Lean R,1
TX-23,Will Hurd,R+1,Lean R,1
TX-31,John Carter,R+10,Lean R,1
VA-05,Open,R+6,Lean R,1
WA-03,Jaime Herrera Beutler,R+4,Lean R,1
WA-05,Cathy McMorris Rodgers,R+8,Lean R,1
WI-01,Open,R+5,Lean R,1
WV-03,Open,R+23,Lean R,1
AK-00,Don Young,R+9,Likely R,2
AZ-06,David Schweikert,R+9,Likely R,2
CA-04,Tom McClintock,R+10,Likely R,2
CA-21,David Valadao,D+5,Likely R,2
CO-03,Scott Tipton,R+6,Likely R,2
FL-06,Open,R+7,Likely R,2
FL-18,Brian Mast,R+5,Likely R,2
FL-25,Mario Diaz-Balart,R+4,Likely R,2
IA-04,Steve King,R+11,Likely R,2
IN-02,Jackie Walorski,R+11,Likely R,2
MI-01,Jack Bergman,R+9,Likely R,2
MI-03,Justin Amash,R+6,Likely R,2
MI-06,Fred Upton,R+4,Likely R,2
MI-07,Tim Walberg,R+7,Likely R,2
NC-08,Richard Hudson,R+8,Likely R,2
NY-01,Lee Zeldin,R+5,Likely R,2
NY-02,Peter King,R+3,Likely R,2
NY-11,Daniel Donovan,R+3,Likely R,2
NY-21,Elise Stefanik,R+4,Likely R,2
OH-10,Michael Turner,R+4,Likely R,2
OH-14,David Joyce,R+5,Likely R,2
PA-14,Open,R+14,Likely R,2
TX-02,Open,R+11,Likely R,2
TX-21,Open,R+10,Likely R,2
TX-22,Pete Olson,R+10,Likely R,2
TX-24,Kenny Marchant,R+9,Likely R,2
WI-06,Glenn Grothman,R+8,Likely R,2
AL-07,Terri Sewell,D+20,Solid D,-3
AZ-03,Ra£l Grijalva,D+13,Solid D,-3
AZ-07,Ruben Gallego,D+23,Solid D,-3
