CD,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538
AK-AL,0.48299266527820084,0.19833109697034557,0.2292450422713765,0.08943119548007716,Don Young,R,0.376,0.528,0.41200000000000003,0.5529999999999999,0.381,0.597,0.503208976047865,0.360219728875593,0.1365712950765412,9,Likely R,2,1,0.2508,1
AL-01,0.3653589736013795,0.42887765674282213,0.19741335687271128,0.00835001278308707,Bradley Byrne,R,0.341,0.635,0.374,0.618,0.385,0.609,0.963824672407165,0,0.0361753275928353,15,Solid R,3,0,6e-4,0
AL-02,0.5354866689702183,0.3161477199597846,0.14836561106999713,0,Martha Roby,R,0.33,0.649,0.364,0.629,0.35,0.645,0.487685477106413,0.405262054204148,0.10705246868944,16,Solid R,3,0,0.0165,0
AL-03,0.5404072958588954,0.3893476756066483,0.0655522282971478,0.004692800237308579,Mike Rogers,R,0.32299999999999995,0.653,0.368,0.623,0.366,0.626,0.66931843513152,0.329319689032546,0.00136187583593402,16,Solid R,3,0,0.001,0
AL-04,0.695332139741225,0.2889415084176601,0.01572635184111493,0,Robert Aderholt,R,0.174,0.804,0.24,0.748,0.255,0.733,0.985303452999449,0,0.0146965470005513,30,Solid R,3,0,0,0
AL-05,0.3989730486989527,0.43282129660396146,0.16820565469708573,0,Mo Brooks,R,0.313,0.647,0.349,0.639,0.363,0.626,0.666979106530101,0.331577615900054,0.0014432775698449,18,Solid R,3,0,0.001,0
AL-06,0.3463199105400232,0.4902717104540786,0.15192869670704576,0.011479682298852401,Gary Palmer,R,0.261,0.708,0.247,0.743,0.25,0.741,0.744939357315081,0.254198222929433,8.62419755485779e-4,26,Solid R,3,0,1e-4,0
AL-07,0.3030558092720477,0.33002170135472436,0.33911751564272424,0.027804973730503675,Terri Sewell,D,0.698,0.28600000000000003,0.7240000000000001,0.271,0.715,0.281,0,0.984130662409668,0.0158693375903325,-20,Solid D,-3,0,1,0
AR-01,0.6505479768950925,0.26487525800843836,0.08457676509646918,0,Eric Crawford,R,0.302,0.65,0.363,0.61,0.392,0.58,0.762780702518596,0,0.237219297481404,17,Solid R,3,0,5e-4,0
AR-02,0.30514519336372464,0.3953215398087759,0.2948593110154593,0.0046739558120402055,J. Hill,R,0.41700000000000004,0.524,0.429,0.547,0.44299999999999995,0.5379999999999999,0.583447947524334,0.368133067075751,0.04841898539991539,7,Lean R,1,1,0.1658,0
AR-03,0.3618642075671107,0.43357311066494486,0.20456268176794445,0,Steve Womack,R,0.305,0.619,0.316,0.655,0.33899999999999997,0.637,0.773181159600864,0,0.226818840399136,19,Solid R,3,0,9e-4,0
AR-04,0.6906574832648922,0.2624830076637977,0.04685950907131009,0,Bruce Westerman,R,0.313,0.642,0.359,0.618,0.374,0.599,0.74904058420947,0,0.25095941579053,17,Solid R,3,0,4e-4,0
AZ-01,0.5529004309335186,0.3168210456017655,0.1302785234647159,0,Tom O'Halleran,D,0.466,0.47700000000000004,0.479,0.504,0.478,0.51,0.433703822450216,0.506640304941042,0.0596558726087421,2,Likely D,-2,1,0.8843,0
AZ-02,0.17087114637589934,0.22330445906041343,0.4089308034532704,0.19689359111041677,Martha McSally,R,0.496,0.447,0.484,0.499,0.489,0.498,0.569584926460107,0.430415073539893,0,1,Lean D,-1,1,0.9475,1
AZ-03,0.17642380117654483,0.25788582073119337,0.44755093847972094,0.11813943961254085,Raúl Grijalva,D,0.624,0.325,0.614,0.369,0.5820000000000001,0.40700000000000003,0,0.986347535339491,0.013652464660509152,-13,Solid D,-3,0,0.9998,0
AZ-04,0.36626240068526106,0.3973736474988963,0.1986312757520031,0.03773267606383949,Paul Gosar,R,0.275,0.677,0.31,0.672,0.344,0.642,0.714533522015008,0.285466477984992,0,21,Solid R,3,0,4e-4,0
AZ-05,0.003618717581894053,0.2309788473786001,0.6766813947992891,0.08872104024021664,Andy Biggs,R,0.365,0.5760000000000001,0.34600000000000003,0.638,0.363,0.626,0.640951631242893,0.359048368757107,0,15,Solid R,3,0,0.0015,0
AZ-06,0.040134928174846866,0.22792291808252726,0.42978417985319034,0.3021579738894355,David Schweikert,R,0.424,0.524,0.38799999999999996,0.595,0.41200000000000003,0.5770000000000001,0.621302905894392,0.378697094105608,0,9,Likely R,2,1,0.1486,0
AZ-07,7.594893458473533e-4,0.12945532921386257,0.43511502855470124,0.4346701528855889,Ruben Gallego,D,0.718,0.226,0.7170000000000001,0.265,0.647,0.341,0.247375811499203,0.752246380918198,3.77807582598183e-4,-23,Solid D,-3,0,0.9999,0
AZ-08,0.05286511578237633,0.1982113273028944,0.6156638930987448,0.13325966381598447,Debbie Lesko,R,0.37,0.581,0.369,0.617,0.384,0.606,0.68549123493583,0,0.31450876506417014,13,Solid R,3,0,0.2474,0
AZ-09,9.261250409318039e-5,0.05730105900572427,0.42889308372563406,0.5137132447645484,Kyrsten Sinema,D,0.547,0.384,0.511,0.466,0.513,0.474,0.390440601498341,0.609191840205833,3.6755829582677197e-4,-4,Solid D,-3,0,0.9913,0
CA-01,0.4311041331775124,0.3673057610826544,0.17045015864067528,0.031139947099157912,Doug LaMalfa,R,0.365,0.562,0.40299999999999997,0.5660000000000001,0.42,0.53,0.590531021921054,0.409468978078946,0,11,Solid R,3,0,0.1492,0
CA-02,0.2897269869477606,0.31505701657881524,0.33272532624493156,0.0624906702284925,Jared Huffman,D,0.69,0.233,0.69,0.27,0.71,0.25,0.231499005339122,0.768500994660878,0,-22,Solid D,-3,0,1,0
CA-03,0.25009486576413553,0.258825396038173,0.25874687850121775,0.23233285969647377,John Garamendi,D,0.53,0.40399999999999997,0.5429999999999999,0.431,0.55,0.42,0.406485682930816,0.593514317069184,0,-5,Solid D,-3,0,0.999,0
CA-04,0.4080583136761747,0.34976804666288247,0.19996404331685813,0.04220959634408468,Tom McClintock,R,0.39299999999999996,0.54,0.395,0.579,0.43,0.54,0.627198855768738,0.372801144231262,0,10,Likely R,2,1,0.1348,0
CA-05,0.12909120779993294,0.23571619455696585,0.38545959471786856,0.24973300292523273,Mike Thompson,D,0.6920000000000001,0.243,0.6970000000000001,0.275,0.7,0.26,0.231314898439185,0.768685101560815,0,-21,Solid D,-3,0,0.9996,0
CA-06,0.01010708576800076,0.06717702522243742,0.39000816472285893,0.5327077242867029,Doris Matsui,D,0.6920000000000001,0.244,0.691,0.28300000000000003,0.68,0.29,0.245729844995816,0.754270155004184,0,-21,Solid D,-3,0,1,0
CA-07,0.050511193646326585,0.09105701714942042,0.5507976358955516,0.30763415330870125,Ami Bera,D,0.523,0.409,0.508,0.46799999999999997,0.51,0.46,0.488286282252667,0.511713717747334,0,-3,Likely D,-2,1,0.9877,0
CA-08,0.2672382834252132,0.4780022598943361,0.23473823725683612,0.020021219423614615,Paul Cook,R,0.396,0.547,0.41700000000000004,0.556,0.42,0.55,0.622580190630298,0.377419809369702,0,9,Solid R,3,0,0,0
CA-09,0.0909375146643872,0.23653001227666196,0.44962172208758766,0.22291075097136318,Jerry McNerney,D,0.5660000000000001,0.38,0.578,0.401,0.56,0.41,0.426404772673429,0.573595227326571,0,-8,Solid D,-3,0,0.9986,0
CA-10,0.11332464457997674,0.20045870999869303,0.4607116053039094,0.22550504011742079,Jeff Denham,R,0.485,0.455,0.506,0.47,0.5,0.47,0.51700457408736,0.48299542591264,0,0,Tossup,0,1,0.667,1
CA-11,0.022609345350018312,0.2404188523265157,0.3332923525993465,0.4036794497241196,Mark DeSaulnier,D,0.715,0.22699999999999998,0.6759999999999999,0.3,0.69,0.28,0.279471779859092,0.720528220140908,0,-21,Solid D,-3,0,1,0
