GEOID,pop,households
01001020100,2010,740
01001020200,2196,838
01001020300,3136,1223
01001020400,4563,1776
01001020500,10529,4289
01001020600,3742,1327
01001020700,3047,1167
01001020801,3025,1080
01001020802,10743,3997
01001020900,5912,2109
01001021000,2899,1007
01001021100,3247,1247
01003010100,4013,1480
01003010200,3067,1086
01003010300,8079,2628
01003010400,4578,1608
01003010500,5115,1705
01003010600,3503,1213
01003010701,7938,3023
01003010703,17062,6019
01003010704,6004,1884
01003010705,9435,3831
01003010800,7686,2748
01003010903,5953,1772
01003010904,6523,2323
01003010905,8055,3199
01003010906,5272,1620
01003011000,3885,1517
01003011101,9685,3675
01003011102,4578,1607
01003011201,5023,1951
01003011202,6085,2178
01003011300,4621,1794
01003011401,10021,3848
01003011403,9933,4388
01003011405,4078,1836
01003011406,3810,1493
01003011407,4970,2317
01003011408,719,293
01003011501,5947,2457
01003011502,11575,4911
01003011601,6640,2318
01003011602,5657,2427
01003990000,0,0
01005950100,3477,1304
01005950200,4404,1078
01005950300,1657,626
01005950400,3693,1012
01005950500,3438,1280
01005950600,2003,752
01005950700,1959,632
01005950800,2195,925
01005950900,3788,1513
01007010001,2783,943
01007010002,6562,2073
01007010003,4824,1696
01007010004,8403,2336
01009050101,7864,2819
01009050102,7202,2575
01009050200,3317,1278
01009050300,5025,1902
01009050400,4689,1809
01009050500,7250,2483
01009050601,3962,1335
01009050602,9550,3330
01009050700,8845,3088
01011952100,1738,617
01011952200,5660,1799
01011952500,3154,1140
01013952700,2142,848
01013952800,1479,632
01013952900,2342,804
01013953000,1489,576
01013953100,2981,1031
01013953200,4006,1606
01013953300,1791,690
01013953400,2754,1006
01013953500,1296,482
01015000200,3034,1407
01015000300,2509,1149
01015000400,2711,1062
01015000500,1444,664
01015000600,1908,650
01015000700,2774,1145
01015000800,1166,433
01015000900,3905,1681
01015001000,6162,2578
01015001100,7060,2905
01015001201,3209,1241
01015001202,4151,1550
01015001300,2305,790
01015001400,2955,1260
01015001500,4665,1656
01015001600,3621,1406
01015001700,6614,2537
01015001800,6418,2498
01015002000,6988,2667
01015002101,3611,1066
01015002102,3285,1309
01015002103,6975,2605
01015002200,3442,1358
01015002300,3677,1540
01015002400,4494,1669
01015002501,7522,2811
01015002502,4467,1700
01015002600,4807,1730
01015981901,4,4
01015981902,0,0
01015981903,0,0
01017953800,3930,1507
01017953900,3045,1260
01017954000,6321,2706
01017954200,3197,1368
01017954300,4839,2099
01017954400,891,472
01017954500,4116,1520
01017954600,3057,1157
01017954700,4622,1762
01019955701,3557,1516
01019955702,3616,1638
01019955800,5298,2152
01019955900,4594,1826
01019956000,4397,1913
01019956100,4435,1954
01021060101,4718,1867
01021060102,6755,2497
01021060200,2887,1131
01021060300,3864,1399
01021060401,5712,2124
01021060402,8735,3216
01021060500,2988,1206
01021060600,3148,1139
01021060700,5010,2040
01023956700,2998,1281
01023956800,4339,1901
01023956900,3767,1489
01023957000,2183,891
01025957500,1207,572
01025957601,1086,354
01025957602,5203,2120
01025957700,1556,540
01025957800,4744,2009
01025957901,3888,1444
01025957902,4189,1484
01025958001,1158,451
01025958002,1816,580
01027958900,5113,2059
01027959000,3386,1438
01027959100,2612,1059
01027959200,2372,807
01029959500,2677,1045
01029959600,3835,1554
01029959700,3670,1400
01029959800,4809,1835
01031010100,2117,788
01031010200,1677,696
01031010300,4823,1793
01031010400,1774,766
01031010500,4489,1620
01031010600,1585,603
01031010700,2317,872
01031010800,2816,1138
01031010900,2380,885
01031011000,3508,1243
01031011100,2077,793
01031011201,8827,3343
01031011202,8264,3199
01031011300,4337,1636
01033020100,3637,1500
01033020200,2227,927
01033020300,1655,863
01033020400,1520,615
01033020500,5191,2034
01033020600,4037,1796
01033020701,6001,2488
01033020703,5333,2106
01033020704,4519,1868
01033020801,4380,1703
01033020802,3642,1446
01033020901,4434,1628
01033020902,3789,1494
01033021000,4012,1637
01035960200,1729,744
01035960300,1539,593
01035960400,3532,1437
01035960500,1807,734
01035960600,4090,1582
01037961000,3751,1362
01037961100,3558,1387
01037961200,3555,1457
01039961600,4016,1658
01039961700,4518,1752
01039961800,3121,1156
01039961900,2263,865
01039962000,3934,1716
01039962100,2060,799
01039962300,2957,1201
01039962400,2993,1309
01039962500,1463,570
01039962600,1574,586
01039962700,1679,637
01039962800,1874,693
01039962900,1859,817
01039963000,3418,1420
01041963400,1929,782
01041963500,1969,706
01041963600,3098,1225
01041963700,3733,1455
01041963800,1730,694
01041963900,1437,564
01043964100,5558,2275
01043964200,7336,2817
01043964300,4846,1855
01043964400,4487,1612
01043964500,4576,1725
01043964600,3895,1357
01043964700,5168,1796
01043964800,4641,1786
01043964900,6177,2429
01043965000,6018,2528
01043965100,3661,1395
01043965200,2549,938
01043965300,4569,1827
01043965401,3055,1095
01043965402,3995,1577
01043965500,5681,2112
01043965600,2282,911
01043965700,2822,1046
01045020000,4681,1153
01045020100,3615,1437
01045020200,2293,865
01045020300,2321,926
01045020400,2275,959
01045020500,2033,855
01045020700,3106,1303
01045020801,3378,1341
01045020802,4406,1759
01045021101,5191,1720
01045021102,4343,1800
01045021200,2529,944
01045021300,4033,1582
01045021400,5403,2150
01047956100,6321,2444
01047956201,2862,1138
01047956202,1928,800
01047956300,4020,1530
01047956400,3419,1233
01047956500,3267,1269
01047956600,2772,1100
01047956701,2033,770
01047956702,1495,583
01047956800,2724,1026
01047956900,2310,1030
01047957000,1320,519
01047957100,1520,591
01047957200,1395,560
01047957300,4040,1506
01049960100,5994,2293
01049960200,3290,1218
01049960300,7253,2583
01049960400,6005,2042
01049960500,5317,1989
01049960600,6395,2196
01049960700,8670,2583
01049960800,4920,1647
01049960900,3679,1376
01049961000,3938,1438
01049961100,3265,1091
01049961200,2331,821
01049961300,5624,2055
01049961400,4256,1479
01051030100,9361,2482
01051030200,4616,1722
01051030300,2587,1111
01051030400,6991,2717
01051030500,4564,1760
01051030600,6909,2326
01051030701,7202,2622
01051030702,4305,1515
01051030800,6745,2473
01051030901,6212,1970
01051030902,3936,1532
01051031000,7373,2884
01051031100,4319,1615
01051031200,1836,647
01051031300,4001,1514
01053969800,5817,2304
01053969900,4502,1639
01053970100,4120,1742
01053970200,1967,682
01053970300,3468,1221
01053970400,5254,970
01053970500,5190,2044
01053970600,3763,1505
01053970700,3794,1429
01055000200,3668,1307
01055000300,2667,982
01055000400,4174,1688
01055000500,1725,746
01055000600,1954,772
01055000700,1085,459
01055000800,1222,404
01055000900,2908,953
01055001000,1606,495
01055001100,4927,1926
01055001200,3013,1405
01055001300,2232,986
01055001600,3843,1278
01055001700,1726,783
