state_fips,county_fips,GEOID,county_name,usps_code
01,005,01005,Barbour,AL
01,023,01023,Choctaw,AL
01,035,01035,Conecuh,AL
01,051,01051,Elmore,AL
01,065,01065,Hale,AL
01,109,01109,Pike,AL
01,113,01113,Russell,AL
01,117,01117,Shelby,AL
02,016,02016,Aleutians West,AK
04,015,04015,Mohave,AZ
05,011,05011,Bradley,AR
05,015,05015,Carroll,AR
05,019,05019,Clark,AR
05,025,05025,Cleveland,AR
05,063,05063,Independence,AR
05,067,05067,Jackson,AR
05,091,05091,Miller,AR
05,121,05121,Randolph,AR
06,001,06001,Alameda,CA
06,005,06005,Amador,CA
06,013,06013,Contra Costa,CA
06,023,06023,Humboldt,CA
06,037,06037,Los Angeles,CA
06,047,06047,Merced,CA
06,067,06067,Sacramento,CA
06,085,06085,Santa Clara,CA
06,115,06115,Yuba,CA
08,013,08013,Boulder,CO
08,029,08029,Delta,CO
08,049,08049,Grand,CO
08,091,08091,Ouray,CO
09,009,09009,New Haven,CT
11,001,11001,District of Columbia,DC
12,009,12009,Brevard,FL
12,023,12023,Columbia,FL
12,039,12039,Gadsden,FL
12,065,12065,Jefferson,FL
12,073,12073,Leon,FL
12,095,12095,Orange,FL
12,107,12107,Putnam,FL
12,117,12117,Seminole,FL
12,123,12123,Taylor,FL
12,133,12133,Washington,FL
13,009,13009,Baldwin,GA
13,013,13013,Barrow,GA
13,027,13027,Brooks,GA
13,073,13073,Columbia,GA
13,103,13103,Effingham,GA
13,149,13149,Heard,GA
13,179,13179,Liberty,GA
13,189,13189,McDuffie,GA
13,205,13205,Mitchell,GA
13,229,13229,Pierce,GA
13,267,13267,Tattnall,GA
13,291,13291,Union,GA
13,305,13305,Wayne,GA
13,319,13319,Wilkinson,GA
15,007,15007,Kauai,HI
16,015,16015,Boise,ID
16,027,16027,Canyon,ID
16,037,16037,Custer,ID
16,039,16039,Elmore,ID
16,043,16043,Fremont,ID
16,061,16061,Lewis,ID
16,083,16083,Twin Falls,ID
16,085,16085,Valley,ID
17,097,17097,Lake,IL
17,107,17107,Logan,IL
17,197,17197,Will,IL
18,007,18007,Benton,IN
18,027,18027,Daviess,IN
18,061,18061,Harrison,IN
18,103,18103,Miami,IN
18,123,18123,Perry,IN
18,157,18157,Tippecanoe,IN
18,175,18175,Washington,IN
19,041,19041,Clay,IA
19,045,19045,Clinton,IA
19,111,19111,Lee,IA
19,135,19135,Monroe,IA
20,067,20067,Grant,KS
20,095,20095,Kingman,KS
20,199,20199,Wallace,KS
21,013,21013,Bell,KY
21,031,21031,Butler,KY
21,065,21065,Estill,KY
21,069,21069,Fleming,KY
21,071,21071,Floyd,KY
21,099,21099,Hart,KY
21,109,21109,Jackson,KY
21,127,21127,Lawrence,KY
21,151,21151,Madison,KY
21,155,21155,Marion,KY
21,179,21179,Nelson,KY
21,195,21195,Pike,KY
21,203,21203,Rockcastle,KY
21,217,21217,Taylor,KY
21,237,21237,Wolfe,KY
22,001,22001,Acadia,LA
22,013,22013,Bienville,LA
22,029,22029,Concordia,LA
22,031,22031,De Soto,LA
22,033,22033,East Baton Rouge,LA
22,069,22069,Natchitoches,LA
22,071,22071,Orleans,LA
22,079,22079,Rapides,LA
22,085,22085,Sabine,LA
22,119,22119,Webster,LA
23,015,23015,Lincoln,ME
24,003,24003,Anne Arundel,MD
24,013,24013,Carroll,MD
24,043,24043,Washington,MD
