"name","fips_code","usps_code","region"
"Alabama","01","AL","South"
"Alaska","02","AK","West"
"Arizona","04","AZ","West"
"Arkansas","05","AR","South"
"California","06","CA","West"
"Colorado","08","CO","West"
"Connecticut","09","CT","Northeast"
"Delaware","10","DE","Northeast"
"District of Columbia","11","DC","South"
"Florida","12","FL","South"
"Georgia","13","GA","South"
"Hawaii","15","HI","West"
"Idaho","16","ID","West"
"Illinois","17","IL","Midwest"
"Indiana","18","IN","Midwest"
"Iowa","19","IA","Midwest"
"Kansas","20","KS","Midwest"
"Kentucky","21","KY","South"
"Louisiana","22","LA","South"
"Maine","23","ME","Northeast"
"Maryland","24","MD","South"
"Massachusetts","25","MA","Northeast"
"Michigan","26","MI","Midwest"
"Minnesota","27","MN","Midwest"
"Mississippi","28","MS","South"
"Missouri","29","MO","South"
"Montana","30","MT","West"
"Nebraska","31","NE","Midwest"
"Nevada","32","NV","West"
"New Hampshire","33","NH","Northeast"
"New Jersey","34","NJ","Northeast"
"New Mexico","35","NM","West"
"New York","36","NY","Northeast"
"North Carolina","37","NC","South"
"North Dakota","38","ND","Midwest"
"Ohio","39","OH","Midwest"
"Oklahoma","40","OK","South"
"Oregon","41","OR","West"
"Pennsylvania","42","PA","Northeast"
"Rhode Island","44","RI","Northeast"
"South Carolina","45","SC","South"
"South Dakota","46","SD","Midwest"
"Tennessee","47","TN","South"
"Texas","48","TX","South"
"Utah","49","UT","West"
"Vermont","50","VT","Northeast"
"Virginia","51","VA","South"
"Washington","53","WA","West"
"West Virginia","54","WV","South"
"Wisconsin","55","WI","Midwest"
"Wyoming","56","WY","West"
