"msa","msa_name","percent_change_2014_2019","location_quotient_2018","median_annual_earnings"
10420,"Akron, OH",0.046905541808071,0.626717,70206.8809574
10580,"Albany-Schenectady-Troy, NY",0.029936142797369,0.88265,69195.9740683
10740,"Albuquerque, NM",0.126632451737814,1.874002,55567.0059324
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.09491898503787,1.085873,76514.9498675
12060,"Atlanta-Sandy Springs-Alpharetta, GA",0.059367144617377,0.554837,63520.5767943
12260,"Augusta-Richmond County, GA-SC",0.085394495517952,0.379157,46859.5186206
12420,"Austin-Round Rock-Georgetown, TX",0.136719088065985,1.959969,60606.2068183
12540,"Bakersfield, CA",0.172052693050803,2.270852,104561.6
12580,"Baltimore-Columbia-Towson, MD",-0.063122994956391,0.920206,70963.1726241
12940,"Baton Rouge, LA",-0.002040521268201,0.348093,54308.2380716
13820,"Birmingham-Hoover, AL",0.099903711524732,0.54308,70015.5799498
14260,"Boise City, ID",0.145535051128225,1.629935,63512.9641758
14460,"Boston-Cambridge-Newton, MA-NH",0.016612303364028,1.332689,82294.1778582
14860,"Bridgeport-Stamford-Norwalk, CT",-0.018888835966527,0.794428,84748.4359696
15380,"Buffalo-Cheektowaga, NY",0.071305530689265,0.772222,65127.3533136
15980,"Cape Coral-Fort Myers, FL",0.170638518964381,1.291767,68328
16700,"Charleston-North Charleston, SC",0.074255330410146,0.998071,57740.9024812
16740,"Charlotte-Concord-Gastonia, NC-SC",0.204241365199088,1.293392,71805.1494374
16860,"Chattanooga, TN-GA",0.143992567377032,0.535102,48227.491545
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.027688907704587,0.458785,73366.8029206
17140,"Cincinnati, OH-KY-IN",0.06411143900668,0.689225,67881.7283672
17460,"Cleveland-Elyria, OH",0.057837753728773,0.579438,70911.7749962
17820,"Colorado Springs, CO",0.122232355438269,0.926854,72750.0529354
17900,"Columbia, SC",0.130124274654582,0.719348,59844.485988
18140,"Columbus, OH",0.077693813545466,0.670326,68776.0663689
19100,"Dallas-Fort Worth-Arlington, TX",0.098471943860068,0.639332,70444.535123
19430,"Dayton-Kettering, OH",0.052544282028284,1.421832,68685.6635926
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.085844628658089,1.368797,66849.9438338
19740,"Denver-Aurora-Lakewood, CO",0.102284302690328,1.098458,79246.4143908
19780,"Des Moines-West Des Moines, IA",0.035355584075315,0.402985,82363.0223211
19820,"Detroit-Warren-Dearborn, MI",0.100485279522977,0.884985,71135.4042035
20500,"Durham-Chapel Hill, NC",0.205497690701625,2.232012,65133.4422242
21340,"El Paso, TX",0.153566073001189,0.724941,50797.8279925
23420,"Fresno, CA",0.223242908889882,1.553539,77417.6
24340,"Grand Rapids-Kentwood, MI",0.098206708784919,0.525341,57170.2408237
24660,"Greensboro-High Point, NC",0.121427736250263,0.776347,62426.5056603
24860,"Greenville-Anderson, SC",0.075740688636584,0.640189,58749.4213876
25420,"Harrisburg-Carlisle, PA",-0.014911546641832,1.008287,66699.3644215
25540,"Hartford-East Hartford-Middletown, CT",-0.050861071597936,0.870874,78329.3779409
26420,"Houston-The Woodlands-Sugar Land, TX",-0.061635309699555,0.481856,63572.3032385
26900,"Indianapolis-Carmel-Anderson, IN",0.06619340834187,0.461783,60611.1991005
27140,"Jackson, MS",-0.022431805286642,0.44697,26202.9917502
27260,"Jacksonville, FL",0.060137212249887,0.612821,79335.4091734
28140,"Kansas City, MO-KS",0.052143365355547,0.663969,69825.1991383
28940,"Knoxville, TN",0.000156503833531,0.143987,90849.4746356
29460,"Lakeland-Winter Haven, FL",0.150788310452716,1.401011,67142.4
29820,"Las Vegas-Henderson-Paradise, NV",0.149413405749938,0.48206,85009.6
30780,"Little Rock-North Little Rock-Conway, AR",0.025264390022831,0.434211,56356.6917063
31080,"Los Angeles-Long Beach-Anaheim, CA",0.114033574145854,1.389458,89304.6137687
31140,"Louisville/Jefferson County, KY-IN",0.036889664064553,0.399011,51386.0037865
31540,"Madison, WI",0.037913172107396,0.915405,70221.627628
32580,"McAllen-Edinburg-Mission, TX",0.297782794344588,0.919692,54849.6
32820,"Memphis, TN-MS-AR",0.034622775652491,0.605913,56013.1694606
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",0.122705643367004,0.995505,73331.2000988
33340,"Milwaukee-Waukesha, WI",0.03778652197746,0.522666,75889.5607847
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.147668370674846,1.70959,76577.5618664
